week,player,position,market,pick,line,model_prob,model_projection,market_prob,edge,actual_value,actual_outcome,predicted_outcome,bet_won,prediction_correct,profit,result
3,Q.Judkins,RB,player_rush_yds,Under 64.5,64.5,0.5907630247102165,61.0,0.5238095238095238,0.0669535009006926,94,OVER,UNDER,False,False,-1.0,unknown
3,J.Taylor,RB,player_rush_yds,Over 44.5,44.5,0.5904930862317516,47.2,0.5238095238095238,0.0666835624222277,102,OVER,OVER,True,True,0.909,unknown
8,C.McCaffrey,RB,player_reception_yds,Over 69.5,69.5,0.5904420232716591,73.71428571428571,0.5238095238095238,0.0666324994621352,43,UNDER,OVER,False,False,-1.0,unknown
5,T.Warren,TE,player_reception_yds,Under 69.5,69.5,0.5902300858918669,65.75,0.5238095238095238,0.066420562082343,44,UNDER,UNDER,True,True,0.909,unknown
7,B.Nix,QB,player_rush_yds,Over 19.5,19.5,0.5893240204964122,20.666666666666668,0.5238095238095238,0.0655144966868883,48,OVER,OVER,True,True,0.909,unknown
3,A.St. Brown,WR,player_reception_yds,Under 84.5,84.5,0.5890103628687297,80.0,0.5238095238095238,0.0652008390592058,77,UNDER,UNDER,True,True,0.909,unknown
2,M.Pittman,WR,player_reception_yds,Under 84.5,84.5,0.5890103628687297,80.0,0.5238095238095238,0.0652008390592058,40,UNDER,UNDER,True,True,0.909,unknown
7,B.Hall,RB,player_rush_yds,Over 64.5,64.5,0.5887731693031206,68.33333333333333,0.5238095238095238,0.0649636454935967,38,UNDER,OVER,False,False,-1.0,unknown
7,C.Kmet,TE,player_reception_yds,Under 24.5,24.5,0.5886750107430825,23.2,0.5238095238095238,0.0648654869335586,16,UNDER,UNDER,True,True,0.909,unknown
8,T.Etienne,RB,player_rush_yds,Under 44.5,44.5,0.5885158378924417,42.142857142857146,0.5238095238095238,0.0647063140829178,16,UNDER,UNDER,True,True,0.909,unknown
8,J.Cook,RB,player_rush_yds,Over 84.5,84.5,0.5884126789893556,89.5,0.5238095238095238,0.0646031551798317,216,OVER,OVER,True,True,0.909,unknown
5,T.Lawrence,QB,player_pass_yds,Over 199.5,199.5,0.5880319061308741,211.25,0.5238095238095238,0.0642223823213502,221,OVER,OVER,True,True,0.909,unknown
7,B.Nix,QB,player_pass_yds,Under 224.5,224.5,0.586777759264941,212.83333333333331,0.5238095238095238,0.0629682354554171,279,OVER,UNDER,False,False,-1.0,unknown
6,J.Goff,QB,player_pass_yds,Over 224.5,224.5,0.5860340248037567,237.4,0.5238095238095238,0.0622245009942328,203,UNDER,OVER,False,False,-1.0,unknown
3,T.Henderson,RB,player_rush_yds,Under 19.5,19.5,0.5855903931068687,18.5,0.5238095238095238,0.0617808692973448,28,OVER,UNDER,False,False,-1.0,unknown
7,T.Tracy,RB,player_rush_yds,Under 19.5,19.5,0.5855903931068687,18.5,0.5238095238095238,0.0617808692973448,46,OVER,UNDER,False,False,-1.0,unknown
5,K.Murray,QB,player_rush_yds,Under 19.5,19.5,0.5855903931068687,18.5,0.5238095238095238,0.0617808692973448,25,OVER,UNDER,False,False,-1.0,unknown
7,T.McBride,TE,player_receptions,Under 6.5,6.5,0.5855903931068686,6.166666666666667,0.5238095238095238,0.0617808692973447,10,OVER,UNDER,False,False,-1.0,unknown
4,S.Rattler,QB,player_pass_yds,Under 224.5,224.5,0.5854914879058998,213.0,0.5238095238095238,0.0616819640963759,126,UNDER,UNDER,True,True,0.909,unknown
5,S.Shepard,WR,player_reception_yds,Over 39.5,39.5,0.5853380852868924,41.75,0.5238095238095238,0.0615285614773685,24,UNDER,OVER,False,False,-1.0,unknown
6,R.Shaheed,WR,player_reception_yds,Over 54.5,54.5,0.5852246228925035,57.6,0.5238095238095238,0.0614150990829797,28,UNDER,OVER,False,False,-1.0,unknown
2,J.Flacco,QB,player_pass_yds,Over 274.5,274.5,0.5846457983640405,290.0,0.5238095238095238,0.0608362745545166,199,UNDER,OVER,False,False,-1.0,unknown
7,J.Smith-Schuster,WR,player_reception_yds,Under 39.5,39.5,0.5844665121574005,37.5,0.5238095238095238,0.0606569883478766,35,UNDER,UNDER,True,True,0.909,unknown
3,H.Henry,TE,player_reception_yds,Under 39.5,39.5,0.5844665121574005,37.5,0.5238095238095238,0.0606569883478766,90,OVER,UNDER,False,False,-1.0,unknown
3,T.McLaurin,WR,player_reception_yds,Under 39.5,39.5,0.5844665121574005,37.5,0.5238095238095238,0.0606569883478766,74,OVER,UNDER,False,False,-1.0,unknown
4,J.Taylor,RB,player_rush_yds,Under 44.5,44.5,0.5843434416222498,42.25,0.5238095238095238,0.0605339178127259,76,OVER,UNDER,False,False,-1.0,unknown
7,J.Fields,QB,player_rush_yds,Over 44.5,44.5,0.5842452411116128,47.0,0.5238095238095238,0.0604357173020889,22,UNDER,OVER,False,False,-1.0,unknown
5,N.Chubb,RB,player_rush_yds,Over 44.5,44.5,0.5842452411116128,47.0,0.5238095238095238,0.0604357173020889,61,OVER,OVER,True,True,0.909,unknown
4,N.Chubb,RB,player_rush_yds,Over 44.5,44.5,0.5842452411116128,47.0,0.5238095238095238,0.0604357173020889,47,OVER,OVER,True,True,0.909,unknown
5,D.Montgomery,RB,player_rush_yds,Under 64.5,64.5,0.5840420094756196,61.25,0.5238095238095238,0.0602324856660957,65,OVER,UNDER,False,False,-1.0,unknown
5,J.Chase,WR,player_reception_yds,Under 69.5,69.5,0.5839937643196796,66.0,0.5238095238095238,0.0601842405101558,110,OVER,UNDER,False,False,-1.0,unknown
